sim,radiotype,radio,carrier,mcc,mnc,area,cellid,enbrnc,lcid,xarfcn,unit,band,fc,sigl,asu,signal,lat,lon,acc,time,speed,bearing,alt,api,device,rsrq,rssnr,ss,cqi,ta,rssi_cdma,rssi_evdo,ecio_cdma,ecio_evdo,n_radiotype,n_xarfcn,n_unit,n_band,n_fc,n_signal,n_rsrq
1,LTE,LTE,Orange,214,3,1250,60683,237,11,0,382,0,0.0,2,27,-113,40.4307993,-3.656102,20.0,1609976423628,0.0,113.6,718.7,29,Xiaomi_M2002J9G,0,0.0,0,0,0,,,,,,,,,,,
1,LTE,LTE,Orange,214,3,1250,60683,237,11,0,382,0,0.0,2,27,-113,40.4307929,-3.6560928,15.2,1609976428795,0.2,132.6,718.7,29,Xiaomi_M2002J9G,0,0.0,0,0,0,,,,,,,,,,,
1,LTE,LTE,Orange,214,3,1250,60683,237,11,0,382,0,0.0,2,26,-114,40.4307957,-3.6560965,13.7,1609976442386,0.0,316.2,718.7,29,Xiaomi_M2002J9G,0,0.0,0,0,0,,,,,,,,,,,
1,LTE,LTE,Orange,214,3,1250,60683,237,11,0,382,0,0.0,4,60,-80,40.4319368,-3.6566654,23.2,1610012561454,0.2,259.1,719.1,29,Xiaomi_M2002J9G,-11,17.0,-1000,-1,-1,,,,,,,,,,,
1,LTE,LTE,Orange,214,3,1250,60683,237,11,0,382,0,0.0,4,57,-83,40.4319144,-3.6570146,15.1,1610012566492,4.1,265.1,717.4,29,Xiaomi_M2002J9G,-12,12.8,-1000,-1,-1,,,,,,,,,,,
1,LTE,LTE,Orange,214,3,1250,60683,237,11,0,382,0,0.0,4,53,-87,40.4318948,-3.6571544,14.4,1610012571497,2.8,261.4,716.8,29,Xiaomi_M2002J9G,-13,15.2,-1000,-1,-1,,,,,,,,,,,
1,LTE,LTE,Orange,214,3,1250,60683,237,11,0,382,0,0.0,4,52,-88,40.4318852,-3.6571004,16.5,1610012576507,0.3,179.0,719.0,29,Xiaomi_M2002J9G,-8,19.4,-1000,-1,-1,,,,,,,,,,,
1,LTE,LTE,Orange,214,3,1250,60683,237,11,0,382,0,0.0,4,65,-75,40.4318546,-3.6570269,20.5,1610012581518,1.1,122.2,717.2,29,Xiaomi_M2002J9G,-12,16.0,-1000,-1,-1,,,,,,,,,,,
1,LTE,LTE,Orange,214,3,1250,2081280,8130,0,0,63,0,0.0,3,41,-99,40.431349,-3.6594176,24.0,1610012613735,0.2,-2000.0,717.2,29,Xiaomi_M2002J9G,-10,3.0,-1000,-1,-1,,,,,,,,,,,
1,LTE,LTE,Orange,214,3,1250,2081280,8130,0,0,63,0,0.0,3,41,-99,40.4316683,-3.6596129,13.3,1610012619000,0.3,30.6,717.2,29,Xiaomi_M2002J9G,-8,6.8,-1000,-1,-1,,,,,,,,,,,
