radiotype,radio,carrier,mcc,mnc,area,cellid,xarfcn,unit,band,fc,lat,lon,acc
LTE,LTE,Orange,214,3,1250,60683,-1,382,-1,-1.0,40.4298989,-3.6573602,1736
LTE,LTE,Orange,214,3,1250,2081280,3050,63,7,2650.0,40.432966,-3.6603904,2725
LTE,LTE+,Orange,214,3,1150,142082,3050,503,7,2650.0,40.434413,-3.6603046,6206
LTE,LTE+,Orange,214,3,1150,142080,3050,501,7,2650.0,40.4392108,-3.6592202,24304
LTE,LTE+,Orange,214,3,1150,1012225,3050,316,7,2650.0,40.4394449,-3.6588906,10775
LTE,LTE+,Orange,214,3,1150,1012224,3050,315,7,2650.0,40.4413862,-3.6595356,1014
LTE,LTE+,Orange,214,3,1150,237314,3050,416,7,2650.0,40.4470951,-3.6548146,28846
LTE,LTE+,Orange,214,3,1150,130048,3050,435,7,2650.0,40.4471856,-3.6536717,17038
LTE,LTE+,Orange,214,3,1150,237313,3050,415,7,2650.0,40.447658,-3.6494739,2891
LTE,LTE+,Orange,214,3,1650,30722,3050,269,7,2650.0,40.4495826,-3.6451003,25383
LTE,LTE+,Orange,214,3,1650,30721,3050,268,7,2650.0,40.4477654,-3.5711211,33136
LTE,LTE,Orange,214,3,1650,64258,3050,302,7,2650.0,40.4489869,-3.6409255,1272
LTE,LTE,Orange,214,3,1650,64256,3050,300,7,2650.0,40.4739811,-3.6057125,38445
LTE,LTE,Orange,214,3,1650,139264,3050,93,7,2650.0,40.4493575,-3.6286844,7054
LTE,LTE+,Orange,214,3,1650,233986,3050,359,7,2650.0,40.4496554,-3.6218265,1000
LTE,LTE+,Orange,214,3,1650,233985,3050,358,7,2650.0,40.4497797,-3.6088811,1561
LTE,LTE+,Orange,214,3,1550,136202,1849,399,3,1869.9,40.4457536,-3.6009671,7443
LTE,LTE,Orange,214,3,1550,1158165,6200,82,20,796.0,40.4486727,-3.6026054,6067
LTE,LTE,Orange,214,3,1242,545548,1849,71,3,1869.9,40.447133,-3.5949003,3441
LTE,LTE+,Orange,214,3,1242,138251,1849,4,3,1869.9,40.4504372,-3.590315,1373
LTE,LTE+,Orange,214,3,1242,47884,1849,68,3,1869.9,40.4495743,-3.5869786,41000
LTE,LTE+,Orange,214,3,1242,47883,1849,67,3,1869.9,40.449157,-3.5748634,17193
LTE,LTE+,Orange,214,3,1142,3523082,1849,354,3,1869.9,40.449556,-3.5638315,1000
LTE,LTE,Orange,214,3,1142,3523072,3050,30,7,2650.0,40.4495685,-3.5649153,1000
LTE,LTE+,Orange,214,3,1142,48406,6200,236,20,796.0,40.4490061,-3.552174,1000
LTE,LTE+,Orange,214,3,1142,48386,3050,77,7,2650.0,40.4488779,-3.5535977,11264
LTE,LTE+,Orange,214,3,1142,48385,3050,76,7,2650.0,40.4471202,-3.5334984,10599
LTE,LTE+,Orange,214,3,1142,171274,1849,417,3,1869.9,40.4489349,-3.5346853,6284
LTE,LTE+,Orange,214,3,1142,170762,1849,284,3,1869.9,40.4445216,-3.5354755,7206
LTE,LTE,Orange,214,3,1242,267532,1849,455,3,1869.9,40.4470046,-3.5225753,16708
LTE,LTE,Orange,214,3,1242,267530,1849,453,3,1869.9,40.455269,-3.5124451,11488
LTE,LTE,Orange,214,3,1242,1037324,1849,176,3,1869.9,40.4549174,-3.5137311,11861
LTE,LTE,Orange,214,3,1242,1037322,1849,174,3,1869.9,40.4612925,-3.5004555,7157
LTE,LTE+,Orange,214,3,1242,164108,1849,179,3,1869.9,40.4602304,-3.4967821,10236
LTE,LTE+,Orange,214,3,1242,164106,1849,177,3,1869.9,40.4657604,-3.4849275,9206
LTE,LTE+,Orange,214,3,1242,165899,1849,196,3,1869.9,40.46709,-3.4787333,13518
LTE,LTE+,Orange,214,3,1242,165909,6200,409,20,796.0,40.4567237,-3.4903684,11520
LTE,LTE+,Orange,214,3,1242,1008909,1849,211,3,1869.9,40.4679445,-3.4736086,2431
LTE,LTE+,Orange,214,3,1242,420619,1849,385,3,1869.9,40.4667442,-3.4645502,14162
LTE,LTE+,Orange,214,3,1242,420620,1849,386,3,1869.9,40.4713395,-3.464802,10292
LTE,LTE,Orange,214,3,1242,164876,1849,89,3,1869.9,40.4669913,-3.4557837,11219
LTE,LTE+,Orange,214,3,1242,164874,1849,87,3,1869.9,40.4675621,-3.4383001,7892
LTE,LTE+,Orange,214,3,1242,164884,6200,282,20,796.0,40.4623883,-3.4368098,10620
LTE,LTE,Orange,214,3,1142,187404,1849,494,3,1869.9,40.4674726,-3.4398177,4908
LTE,LTE,Orange,214,3,1142,187414,6200,335,20,796.0,40.4725254,-3.4503275,12385
LTE,LTE+,Orange,214,3,1142,187403,1849,493,3,1869.9,40.4522076,-3.4264832,9624
